Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEXO,Value
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,3.70
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.M,3.90
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.80
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.78
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.77
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.90
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,2.93
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,3.07
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,3.16
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,3.07
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,3.15
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,3.15
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,3.08
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080901_S1,SEXO.F,3.00
