Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.TIPO_TRATAMIENTO,Value
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,85.74
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,85.39
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,51.16
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,54.12
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,56.77
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_DUMPED,56.89
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,35.02
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,28.74
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,30.03
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,20.06
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,14.26
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,14.61
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,36.11
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,33.86
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,30.52
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_110601_S1,TIPO_TRATAMIENTO._L_TTREAT_RECYCLED,31.31
