Year,Units,general.territorio,Serie,DIM_DES.INSTITUCION,Value
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.04
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.05
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.05
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.05
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.06
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.06
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.08
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.09
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.1
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.11
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_A,INSTITUCION._L_INSTITUTION_01,1.13
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.48
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.48
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.49
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.48
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.48
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.48
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.47
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.48
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.49
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.49
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.48
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_B,INSTITUCION._L_INSTITUTION_02,0.49
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.16
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.17
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.17
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.18
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.18
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.18
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.19
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.19
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.21
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.22
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.2
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_C,INSTITUCION._L_INSTITUTION_03,0.21
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.23
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.26
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.24
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_D,INSTITUCION._L_INSTITUTION_04,0.25
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.17
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.18
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.17
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.18
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.19
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.21
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.21
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.21
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.21
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.22
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.25
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_E,INSTITUCION._L_INSTITUTION_05,1.24
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.37
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.37
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.38
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.38
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.39
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.39
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.39
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.4
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.41
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.41
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.41
2021,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_F,INSTITUCION._L_INSTITUTION_06,1.41
2010,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.15
2011,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.19
2012,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.19
2013,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.15
2014,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.16
2015,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.16
2016,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.16
2017,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.13
2018,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.15
2019,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.15
2020,UNIDAD_MEDIDA.IX,ES70,SERIE.SERIE_G,INSTITUCION._L_INSTITUTION_07,0.15
