Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEXO,DIM_DES.EDAD,Value
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,67.65
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,79.48
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.01
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.63
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,96.41
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,70.93
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,66.99
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,75.52
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.26
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.39
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,97.16
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,75.41
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,69.68
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,81.48
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.92
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.93
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,98.27
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,75.73
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,65.70
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,86.46
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.60
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.42
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,97.89
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,78.12
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,74.14
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,82.29
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,98.70
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,98.11
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,99.35
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,80.41
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,74.07
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,87.04
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.84
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,96.35
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,97.34
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,78.56
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,75.38
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,81.85
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,96.77
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,95.99
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,97.59
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,78.50
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,74.76
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,82.47
2024,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_040102_S1,SEXO._T,EDAD.Y18T20,98.80
2024,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.M,EDAD.Y18T20,98.81
2024,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_040102_S1,SEXO.F,EDAD.Y18T20,98.78
2024,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_040102_S2,SEXO._T,EDAD.Y20T22,78.54
2024,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.M,EDAD.Y20T22,71.29
2024,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040102_S2,SEXO.F,EDAD.Y20T22,86.33
