Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2014,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,1.35
2015,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,0.99
2016,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,0.91
2017,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,1.31
2018,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,1.59
2019,UNIDAD_MEDIDA.EUR_1000000,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_170301_1B,6.22
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0.04
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0.01
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0.01
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_170301_2B,0.01
