Year,Units,general.territorio,Serie,DIM_DES.SERVICIO,Value
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,20.29
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,23.37
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,22.00
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERVICIO._L_SERVICE_04,20.28
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,47.01
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,47.62
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,49.07
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,47.43
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,54.85
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,56.57
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,60.12
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,55.34
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,50.02
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,59.35
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,57.63
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,59.28
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,59.87
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERVICIO._L_SERVICE_05,52.94
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,46.04
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,37.54
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,33.05
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,32.44
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,37.91
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,35.22
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,43.82
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,42.45
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,44.85
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,52.81
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,50.70
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,52.75
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,54.04
2024,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERVICIO._L_SERVICE_06,50.59
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,67.01
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,60.38
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,61.01
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERVICIO._L_SERVICE_07,58.61
