Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,96.20
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,96.10
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,97.60
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,98.70
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,97.90
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,98.70
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,98.30
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,97.40
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,97.30
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,96.00
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SEXO.F,95.80
