Year,Units,general.territorio,Serie,DIM_DES.TECNOLOGIA_ACCESO,Value
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,18.72
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,22.20
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,25.04
2021,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,27.79
2022,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_D,TECNOLOGIA_ACCESO._L_ACCESS_TECH_FTTH,29.94
2010,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.25
2011,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.26
2012,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.26
2013,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.30
2014,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.30
2015,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.35
2016,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.38
2017,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.48
2018,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.57
2019,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.67
2020,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.69
2021,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.64
2022,UNIDAD_MEDIDA.PER_100_POP,ES,SERIE.SERIE_E,TECNOLOGIA_ACCESO._L_ACCESS_TECH_O,0.70
2010,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_ACCESS_TECH_T,25.08
2010,UNIDAD_MEDIDA.PER_100_POP,ES70,SERIE.SERIE_A,TECNOLOGIA_ACCESO._L_SERVICE_T,25.08
