Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.27
2023,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,0.34
2010,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.00
2011,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.00
2012,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,2.10
2013,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,1.80
2014,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,1.84
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,1.17
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,1.12
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,2.31
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.59
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.77
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.53
2021,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.32
2022,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.00
2023,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,0.40
2010,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,0.00
2011,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,0.00
2012,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,3.07
2013,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,2.57
2014,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,3.03
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,1.70
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,1.97
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,3.54
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,0.83
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,1.18
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,0.90
2021,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,0.65
2022,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,0.00
2023,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,0.73
2010,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.00
2011,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.00
2012,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,1.14
2013,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,1.04
2014,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.66
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.65
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.28
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,1.10
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.36
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.36
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.18
2021,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.00
2022,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.00
2023,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,0.09
