Year,Units,general.territorio,Serie,DIM_DES.SEXO,Value
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,5.91
2021,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,5.72
2022,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,SEXO.F,5.57
2012,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,7.17
2013,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,7.68
2014,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,6.14
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,7.52
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,5.93
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,5.96
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,7.49
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,6.13
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,5.17
2021,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,4.32
2022,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,SEXO._T,5.46
2012,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,9.58
2013,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,9.52
2014,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,8.82
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,9.64
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,7.23
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,7.91
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,9.12
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,7.45
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,7.73
2021,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,5.48
2022,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,SEXO.M,6.91
2012,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,4.77
2013,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,5.86
2014,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,3.48
2015,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,5.42
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,4.64
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,4.04
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,5.90
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,4.82
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,2.65
2021,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,3.18
2022,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,SEXO.F,4.05
