Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,Value
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL.SE_ACS_SANIT,100.00
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL.SE_ACC_HNDWSH,100.00
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,76.80
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,82.00
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,82.20
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,85.00
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,85.20
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,89.10
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,98.80
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL.SE_ACS_INTNT,94.90
2010,UNIDAD_MEDIDA.NUMBER,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,6.20
2011,UNIDAD_MEDIDA.NUMBER,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,5.20
2012,UNIDAD_MEDIDA.NUMBER,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,4.20
2013,UNIDAD_MEDIDA.NUMBER,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.70
2014,UNIDAD_MEDIDA.NUMBER,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.80
2015,UNIDAD_MEDIDA.NUMBER,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.80
2017,UNIDAD_MEDIDA.NUMBER,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,3.20
2019,UNIDAD_MEDIDA.NUMBER,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,2.50
2021,UNIDAD_MEDIDA.NUMBER,ES70,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_040A01_0C,2.20
