Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.ACTIVIDAD,Value
2015,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.58
2016,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.49
2017,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,15.22
2018,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.70
2019,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.36
2020,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,15.02
2021,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,14.28
2022,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_02,13.23
2010,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,206.07
2011,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,204.20
2012,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,203.99
2013,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,202.00
2014,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,204.90
2015,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,209.27
2016,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,212.79
2017,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,215.99
2018,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,221.19
2019,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,220.93
2020,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,224.00
2021,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,224.57
2022,UNIDAD_MEDIDA.KT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_020401_S1,ACTIVIDAD._L_ACTIVITY_03,202.7
2010,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,25.54
2011,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,24.32
2012,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,24.40
2013,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,23.86
2014,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,24.45
2015,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,25.29
2016,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,25.74
2017,UNIDAD_MEDIDA.KG,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_020401_S2,ACTIVIDAD._L_ACTIVITY_03,25.83
